0	0
00	215
0000	286
0000tw	305
00z	386
01	397
01z	486
02	496
03	691
04	735
0404wb	800
0405wb	853
04306	885
04988	896
04z	906
05	931
06z	984
07	995
07334	1043
08	1060
0804f37110237750	1135
09	1154
09863	1189
09874	1200
09z	1211
1	1222
10	1657
100	1791
101	1843
102	1860
107	1878
10838	1897
109	1914
11	1931
110blife	2108
111144	2120
11t04	2137
11t07	2147
11t19	2164
11t21	2181
12	2198
121	2270
1210	2281
123	2294
124	2305
126	2316
127ddb8	2327
128	2338
129855	2349
12t01	2360
12t05	2377
13	2395
1300	2443
130211	2455
1329022947	2466
13524	2484
136	2497
138	2516
14	2533
14021	2574
141	2592
14243	2604
14405	2614
1449655055	2631
1449668914	2651
14577	2671
147	2681
148	2692
14th	2707
14z	2720
15	2731
150	2793
1500	2836
153	2848
155244	2859
155600	2870
156	2881
158	2893
15885	2910
159	2929
15909	2947
16	2964
160	3020
161	3040
162	3075
16231	3119
164	3136
16415	3148
16461	3159
166	3176
167	3188
16814	3200
16a	3211
16b	3223
16th	3235
16v	3248
17	3261
170	3361
17002	3381
173	3398
174	3443
175	3477
176	3489
177	3500
179	3511
1794	3523
17z	3536
18	3561
180	3622
181	3642
182	3653
184	3665
186	3697
1864	3708
18648	3734
1865	3745
187	3761
188	3773
19	3807
193	3867
195	3887
1956	3898
196	3911
1964	3944
1965	3956
1970	3968
1982	4003
1984	4015
199	4033
1991	4045
1992	4058
1993	4072
1994	4085
1995	4098
1996	4111
1997	4124
1998	4146
1999	4159
1fb3f	4203
1in	4214
1st	4227
2	4260
20	4559
200	4620
2000	4786
2001	4815
2002	4827
2003	4854
2004	4882
2005	4922
2006	4975
2007	5034
2008	5155
2009	5237
2010	5313
2011	5461
2012	5665
2013	5996
2014	6014
20172	6027
202	6038
203	6060
204	6071
20452	6090
205	6101
206	6126
207	6138
20780	6149
208	6166
209	6190
20m	6226
21	6239
215	6290
2179308029	6309
21st	6321
22	6343
223	6389
224	6408
225	6427
227	6446
23	6457
23119	6484
23234	6495
23620	6507
23725	6518
24	6529
242	6571
243	6590
244	6602
245	6620
25	6639
252	6710
2520	6721
255ikykahdiuzt23mfuokg55snjcnalf	6737
25e6c	6748
26	6759
261	6794
263	6813
2635	6825
264	6844
26707	6869
27	6880
278	6945
28	6965
283	7066
286	7085
28t01	7104
28t02	7115
28t03	7133
28t04	7144
28t05	7155
28t11	7173
28t12	7184
28t14	7195
28t15	7206
29	7217
298	7245
2nation	7264
3	7276
30	7435
300	7468
304	7479
308	7498
30a	7517
31	7529
32	7541
320	7567
32066	7579
3230	7590
33	7603
33254	7632
33520	7643
33z	7654
34	7665
34594	7705
34617	7716
347	7728
35	7748
35090	7804
357	7815
35z	7834
36	7859
3600	7878
363	7889
3672379564	7908
37	7927
372	7939
37fdadbkrbubrgp34dabc2hyq7b4bnsh	7958
38	7969
39	8012
390	8025
396	8045
39796	8064
3_sir	8081
3d	8092
3e25	8121
3rd	8138
4	8151
40	8250
41	8291
417	8304
417m	8317
42	8330
43	8350
44	8371
44z	8408
45	8419
45032	8445
46	8456
467	8469
47	8481
47s	8518
48	8530
49	8556
4a	8583
4b637969a6540	8595
4b637ae9fb000	8606
4b6be78870d7f	8617
4b6eb4d762200	8634
4piehimnhhi5xqsfycnz5e6lxi7kj4sv	8645
4rbncttrskz3t6sbar3lzidfzskk5ati	8656
4x4	8667
5	8679
50	8844
500	8969
5000	9005
50727	9018
50z	9028
51	9045
52	9090
53	9103
53215	9123
54	9134
54z	9159
55	9176
56	9196
56823	9226
57	9237
57126	9265
58	9276
59	9289
59z	9318
5odldqbnt0vli7gre_wix5krg748t4l05zojshnrrboexoa0seusiiuf9c3t_o4lufkmv3n7cjcmldclh8l6zqed_uct1g1thzxa03do7b95knfahuizxeux9	9336
5pm	9347
6	9360
60	9499
60r	9523
60rs	9544
61	9556
62	9569
